Название;Город;Web-сайт;Адрес;ФИО;Должность;E-mail;Телефон;Сотовый;Дата;Активность
Тестовый клиент 1;Пермь;www.website.ru1;614030, г.Пермь, ул. Ленина, 1;Власов Владимир Алексеевич;Руководитель;client@ya.ru1; +7(342)2000000; +7(912)9000000;2014-03-23;Звонок
Тестовый клиент 2;Пермь;www.website.ru2;614030, г.Пермь, ул. Ленина, 2;Головачов роман Федорович;Менеджер;client@ya.ru2; +7(342)2000001; +7(912)9000001;2014-03-24;Звонок
Тестовый клиент 3;Пермь;www.website.ru3;614030, г.Пермь, ул. Ленина, 3;Пархоменко Сергей Валерьевич;Руководитель;client@ya.ru3; +7(342)2000002; +7(912)9000002;2014-03-25;Звонок
Тестовый клиент 4;Пермь;www.website.ru4;614030, г.Пермь, ул. Ленина, 4;Худяков Сергей;Менеджер;client@ya.ru4; +7(342)2000003; +7(912)9000003;2014-03-26;Звонок
Тестовый клиент 5;Пермь;www.website.ru5;614030, г.Пермь, ул. Ленина, 5;Антипин Иван;Менеджер;client@ya.ru5; +7(342)2000004; +7(912)9000004;2014-03-27;Звонок
Тестовый клиент 6;Пермь;www.website.ru6;614030, г.Пермь, ул. Ленина, 6;Вшивкова Елена Владимировна;Руководитель;client@ya.ru6; +7(342)2000005; +7(912)9000005;2014-03-28;Звонок
Тестовый клиент 7;Пермь;www.website.ru7;614030, г.Пермь, ул. Ленина, 7;Алексеева Наталия Михайловна;Менеджер по развитию бизнеса;client@ya.ru7; +7(342)2000006; +7(912)9000006;2014-03-29;Звонок
Тестовый клиент 8;Пермь;www.website.ru8;614030, г.Пермь, ул. Ленина, 8;Грилчин Павел Евгеньевич;Руководитель;client@ya.ru8; +7(342)2000007; +7(912)9000007;2014-03-30;Звонок
Тестовый клиент 9;Пермь;www.website.ru9;614030, г.Пермь, ул. Ленина, 9;Трясцин Денис Михайлович;Руководитель;client@ya.ru9; +7(342)2000008; +7(912)9000008;2014-03-31;Звонок
Тестовый клиент 10;Пермь;www.website.ru10;614030, г.Пермь, ул. Ленина, 10;Гусев Артем Дмитриевич;Зам.руководителя;client@ya.ru10; +7(342)2000009; +7(912)9000009;2014-04-01;Звонок
Тестовый клиент 11;Пермь;www.website.ru11;614030, г.Пермь, ул. Ленина, 11;Тричева Ольга;Руководитель отдела поставок;client@ya.ru11; +7(342)2000010; +7(912)9000010;2014-04-02;Звонок
Тестовый клиент 12;Пермь;www.website.ru12;614030, г.Пермь, ул. Ленина, 12;Серебрянников Денис Алексеевич;Руководитель;client@ya.ru12; +7(342)2000011; +7(912)9000011;2014-04-03;Звонок
Тестовый клиент 13;Пермь;www.website.ru13;614030, г.Пермь, ул. Ленина, 13;Капустин Антон Валерьевич;Руководитель;client@ya.ru13; +7(342)2000012; +7(912)9000012;2014-04-04;Звонок
Тестовый клиент 14;Пермь;www.website.ru14;614030, г.Пермь, ул. Ленина, 14;Кузнецов Максим;Менеджер;client@ya.ru14; +7(342)2000013; +7(912)9000013;2014-04-05;Звонок
Тестовый клиент 15;Пермь;www.website.ru15;614030, г.Пермь, ул. Ленина, 15;Кузнецов Максим;Менеджер;client@ya.ru15; +7(342)2000014; +7(912)9000014;2014-04-06;Звонок
Тестовый клиент 16;Пермь;www.website.ru16;614030, г.Пермь, ул. Ленина, 16;Маркин Алексей Андреевич;Руководитель;client@ya.ru16; +7(342)2000015; +7(912)9000015;2014-04-07;Звонок
Тестовый клиент 17;Пермь;www.website.ru17;614030, г.Пермь, ул. Ленина, 17;Алексовский Андрей;Менеджер;client@ya.ru17; +7(342)2000016; +7(912)9000016;2014-04-08;Звонок
